Experiment,Type,Model,MCC_all,MCC_mrmr,ΔMCC,Macro-F1_all,Macro-F1_mrmr,ΔMacro-F1
1,within-dataset,RF,0.9977542849594369,0.9937458576947298,-0.004008427264707071,0.8609745147773801,0.7910262846186477,-0.06994823015873242
1,within-dataset,XGB,0.9928408613393767,0.7092383311143655,-0.28360253022501114,0.7350037589914958,0.22923742382361997,-0.5057663351678758
2,cross-dataset,RF,0.04274144277439033,0.023607111340521323,-0.019134331433869004,0.23547561870216666,0.13823181114978206,-0.0972438075523846
2,cross-dataset,XGB,0.03129702771784224,0.17816512560809394,0.1468680978902517,0.13554374539091724,0.237414811316564,0.10187106592564676
3,within-dataset,RF,0.9840728214353074,0.983409100864507,-0.0006637205708004412,0.9272672546088062,0.9239294393742171,-0.003337815234589092
3,within-dataset,XGB,0.9832193173660863,0.9734705475498718,-0.00974876981621442,0.7829924415845488,0.7262874831103183,-0.056704958474230516
4,cross-dataset,RF,0.13183441053979988,0.0766680964864614,-0.05516631405333848,0.17737807990230905,0.12944012355678197,-0.04793795634552708
4,cross-dataset,XGB,-0.10835172857075263,0.11675127832478234,0.22510300689553497,0.10569463947586621,0.14739291103705496,0.04169827156118874
